new-clean-winemag-data-130k-v2,,,,,,,,,,,,,
id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
825,Italy,"Roasted coffee bean, underbrush, toast and allspice lead the nose on this big wine. The one-dimensional palate offers dense cherry extract, licorice and the warmth of alcohol. It's already evolved so drink now.",,86,70,Tuscany,Brunello Di Montalcino,,Kerin O'keefe,@kerinokeefe,Tenuta Poggio Il Castellare 2009 Brunello Di Montalcino,Sangiovese,Tenuta Poggio Il Castellare
826,Italy,"This wine brings together sensations of tilled earth, espresso, oak extract, coffee, overripe black plum and vanilla. The palate displays tightly packed tannins but it's low on fresh acidity so drink it soon.",Ciampoleto,86,28,Tuscany,Rosso Di Montalcino,,Kerin O'keefe,@kerinokeefe,Tenuta San Giorgio 2012 Ciampoleto,Sangiovese,Tenuta San Giorgio
827,Chile,"Leathery, briny plum aromas are full and herbal. This feels solid and medium in size and body. Flavors of earthy, roasted berry and plum finish lightly green and herbal, with a touch of sweetness.",,86,11,Curicó Valley,,,Michael Schachner,@wineschach,Terrapura 2012 Merlot,Merlot,Terrapura
828,France,"Chenin Blanc has found an unlikely new home in Cahors, to judge by the producers who are trying it out. It works well, giving a deliciously nutty character as well as intense citrus and minerality. Age this wine until 2015.",K libre,86,30,Southwest France,Côtes Du Lot,,Roger Voss,@vossroger,Clos Troteligotte 2013 K-libre Chenin Blanc,Chenin Blanc,Clos Troteligotte
829,United States,"A clean, fresh wine, this opens with crisply varietal aromatics of citrus and orange blossom. The flavors follow suit, adding some fresh-cut pineapple as well; then the wine hits a wall and simply pulls up short.",,86,26,Washington,Columbia Valley,Columbia Valley,Paul Gregutt,@paulgwine,Columbia Winery 2013 Viognier,Viognier,Columbia Winery
830,France,"Crisp while also fruity, it has bright acidity, lively citrus and apple flavors and a refreshing aftertaste. Drink now.",,86,15,Beaujolais,Beaujolais-villages,,Roger Voss,@vossroger,Domaine De Thulon 2013 Beaujolais-villages,Chardonnay,Domaine De Thulon
831,France,Some wood aging gives the fruitiness of the wine an added spice. Tannins support the bitter cherry flavors and add firmness to the juicy acidity. Drink from the end of 2015.,Roche Grès,86,23,Beaujolais,Moulin-à-vent,,Roger Voss,@vossroger,Domaine Du Haut-poncié 2013 Roche Grès,Gamay,Domaine Du Haut-poncié
832,France,"The wine is very fresh, with intense acidity and fragrant red fruits. Made from 100-year-old vines, it's tight, mineral and has a cool, light character with the merest hint of tannin. Drink now.",Coeur De Vendanges,86,0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Domaine Du Vissoux 2013 Coeur De Vendanges,Gamay,Domaine Du Vissoux
833,Italy,"Aromas of a closed cellar blow off in the glass to reveal underbrush, violet, woodland berries and a hint of white pepper that all carry over to the palate. It's one-dimensional with fresh acidity and would work well with deep-dish pizza covered with toppings.",,86,30,Piedmont,Nebbiolo D'alba,,Kerin O'keefe,@kerinokeefe,Dosio 2012 Nebbiolo D'alba,Nebbiolo,Dosio
834,Chile,"Briary, spicy, mildly herbal berry aromas give way to a full, bold, wiry feeling palate with pointed acidity. Herbal, lightly green flavors of tobacco and plum finish crisp.",Reserve Estate Bottled,86,10,Loncomilla Valley,,,Michael Schachner,@wineschach,G7 2012 Reserva Estate Bottled Cabernet Sauvignon,Cabernet Sauvignon,G7
835,France,"Attractive cherry flavors give a ripe, rounded feel that's balanced by the acidity and tannins. Black cherries burst easily from the glass, delivering a full aftertaste.",Flower Label,86,12,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Georges Duboeuf 2013 Flower Label,Gamay,Georges Duboeuf
836,Spain,"Apple and melon aromas are standard and light. A juicy, citrusy feeling palate delivers stone-fruit flavors of peach and nectarine. A mild finish is fresh in flavor and feel.",Cinta Púrpura Brut Reserve,86,13,Catalonia,Cava,,Michael Schachner,@wineschach,Juvé Y Camps Nv Cinta Púrpura Brut Reserva Sparkling,Sparkling Blend,Juvé Y Camps
837,Spain,"Generic white-fruit and matchstick aromas are quiet in nature. This is creamy and not assaulting or sugary on the palate. Mango, melon, lychee and citrus flavors finish with lime notes.",Sweet Reserve,86,15,Catalonia,Cava,,Michael Schachner,@wineschach,Juvé Y Camps Nv Sweet Reserva Sparkling,Sparkling Blend,Juvé Y Camps
838,United States,"Despite the abv listed, this wine does not seem especially ripe. Peppery highlights carry a whiff of onion, and between the alcohol burn and the green edges, the wine has not come together. Aging in 40% new oak adds some toast, but not grip or density.",Les Collines Vineyard,86,36,Washington,Walla Walla Valley,Columbia Valley,Paul Gregutt,@paulgwine,Kontos 2011 Les Collines Vineyard Syrah,Syrah,Kontos
839,United States,"Blossoms and yellow cherries lend a sweet floral flair on the nose of this dry Riesling. It's straightforward in style, but quaffable and refreshing, with flavors of fresh apple and pear that finish crisp and clean.",Yellow Dog Vineyard,86,20,New York,Finger Lakes,,Anna Lee C. Iijima,,Lamoreaux Landing 2013 Yellow Dog Vineyard Riesling,Riesling,Lamoreaux Landing
840,France,"This is a rich style of rosé, rounded and fruity with good texture, wild strawberry flavors and very crisp acidity at the end. It's an attractive wine and one that's worth keeping until 2015.",,86,0,Beaujolais,Beaujolais Rosé,,Roger Voss,@vossroger,Laurent Gauthier 2013 Rosé,Rosé,Laurent Gauthier
841,United States,"This does a good job of balancing lively pear and apple flavors with dashes of toast and butter. It's medium to full-bodied, dry and has enough crispness to help the flavors linger.",,86,10,California,California,California Other,Jim Gordon,@gordone_cellars,Leaping Horse 2013 Chardonnay,Chardonnay,Leaping Horse
842,France,"While the wine has a crisp side, it's also full of red fruits and soft tannins. That makes for a wine that's fragrant, fruity, ready to drink and not likely to age much. Enjoy it now.",,86,16,Beaujolais,Beaujolais-villages,,Roger Voss,@vossroger,Manoir Du Carra 2013 Beaujolais-villages,Gamay,Manoir Du Carra
843,United States,"Aged for 20 months in 40% new French oak, this remains a tough nut to crack. It's encased in a hard tannic shell, with little ripe fruit, and is strongly flavored with barrel notes of tobacco and vanilla. Decant it or put it through an aerator.",Proprietor's Reserve,86,25,Washington,Columbia Valley,Columbia Valley,Paul Gregutt,@paulgwine,Maryhill 2011 Proprietor's Reserve Cabernet Franc,Cabernet Franc,Maryhill
844,Italy,"Aromas of citrus, white stone fruit and a vegetal hint suggesting tomato leaf lead the way. The racy palate offers grapefruit, pineapple, fresh white peach and flinty mineral while a pleasantly bitter note closes the finish.",Bianco,90,24,Sicily and Sardinia,Etna,,Kerin O'keefe,@kerinokeefe,Cottanera 2015 Bianco,Carricante,Cottanera
845,Italy,"Fragrant and fresh, this Grillo opens with alluring scents of acacia flower, beeswax and white stone fruit. The succulent palate offers creamy white peach, juicy nectarine, almond and mineral framed in tangy acidity. A note of chopped herb closes the lingering finish.",Aquilae Bio,90,0,Sicily and Sardinia,Terre Siciliane,,Kerin O'keefe,@kerinokeefe,Cva Canicattì 2015 Aquilae Bio Grillo,Grillo,Cva Canicattì
846,France,"A soft, stony scent of pebble and the faintest melon signals a fresh, clean wine. The palate plays these aromas out softly but also with precision. That stoniness lingers on the dry, gentle finish and the lasting flavor of fresh apple peel",Rosenberg,90,24,Alsace,Alsace,,Anne Krebiehl,@anneinvino,Domaine Barmès-buecher 2014 Rosenberg Sylvaner,Sylvaner,Domaine Barmès-buecher
847,France,"The Pinot-ness of this wine is undeniable: its structure is of velvet, and its aromas convey freshly turned earth, autumnal oak leaf and subdued red-cherry fruit. There is a depth that evokes deep forests. Have this with furred or feathered game.",Galets Oligocène,90,33,Alsace,Alsace,,Anne Krebiehl,@anneinvino,Domaine Bott-geyl 2012 Galets Oligocène Pinot Noir,Pinot Noir,Domaine Bott-geyl
848,France,"With tannins and new-wood flavors, this rich wine is also structured. A smoky character from the wood is shot through by perfumed red fruits. The aftertaste shows more of the wood flavors that need to integrate. Drink from 2018.",Clos De Jeu,90,0,Burgundy,Marsannay,,Roger Voss,@vossroger,Domaine Collotte 2014 Clos De Jeu,Pinot Noir,Domaine Collotte
849,France,"This is a blend from most parts of the village, with fruit from 14 different parcels. It is solid and firm while also having great swathes of raspberries and red plums laced together with acidity. The aftertaste is perfumed with a fresh lift. Drink from 2018",,90,70,Burgundy,Gevrey-chambertin,,Roger Voss,@vossroger,Domaine Faiveley 2014 Gevrey-chambertin,Pinot Noir,Domaine Faiveley
850,France,"Young vines, planted in 2007, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2019.",Grèves Premier Cru,90,117,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Jacques Prieur 2014 Grèves Premier Cru,Chardonnay,Domaine Jacques Prieur
851,France,"With intense acidity, this wine has both good structure and red currant and raspberry fruits. It is bright, fresh and almost crisp in character. In the background, the tannins show the dense texture of the wine. It will need to age, so don't drink before 2019.",Champ Salomon,90,0,Burgundy,Marsannay,,Roger Voss,@vossroger,Domaine René Bouvier 2014 Champ Salomon,Pinot Noir,Domaine René Bouvier
852,France,"Bruised apple and dandelion notes play spicily on the textured, slightly phenolic palate. The central streak of freshness brightens all aspects of the wine, which might gain complexity with a year or two more in bottle. For now it remains intriguingly poised between earthy richness and ethereal lift.",Grand A Du Petit Léon,90,16,Alsace,Alsace,,Anne Krebiehl,@anneinvino,Domaine Roland Schmitt 2014 Grand A Du Petit Léon Sylvaner,Sylvaner,Domaine Roland Schmitt
853,Germany,"A dusting of crushed slate and saffron accents this zesty lime and honey kissed Kabinett. It's dancingly light on the palate, but concentrated with swirls of marmalade and orange-peel flavors that extend through a long finish. Drink now through 2025.",Thanisch Kabinett,90,30,Mosel,,,Anna Lee C. Iijima,,Dr. H. Thanisch,Riesling,Dr. H. Thanisch (erben Thanisch)
854,United States,"An interesting vein of tasty herb flavor runs through this full-bodied, plump and fruity wine. The aroma has hints of dill and sage, and these mingle with black cherry and blueberry on the palate. A sleek texture and long finish complete the picture.",,90,20,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Easton 2014 Zinfandel,Zinfandel,Easton
855,United States,"Quite buttery and nutty on the nose, this wine shows Marcona almonds, seared pineapple, crème brûlée and vanilla custard. Those elements meet with smart amounts of acid and texture on each creamy, buttery, pineapple-laced sip, which then finishes on marshmallow flavors.",Reserve,90,35,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Edna Valley Vineyard 2013 Reserve Chardonnay,Chardonnay,Edna Valley Vineyard
856,Italy,"Scents of pressed white flower, orchard fruit, smoke, citrus and a whiff of nut lead the nose on this savory white. The round, medium-bodied palate offers mature pear, pineapple, peach and hazelnut while a note of flinty mineral lifts the finish.",Taburno,90,25,Southern Italy,Sannio,,Kerin O'keefe,@kerinokeefe,Fattoria La Rivolta 2015 Taburno Fiano,Fiano,Fattoria La Rivolta
857,United States,"Tar and beef char kick off the nose on this dark and heavy wine, which offers asphalt, smoked meats and crushed elderberry. Caramelized beef, balsamic-blackberry reduction, tobacco and touches of smoke show on the palate.",,90,28,California,Santa Barbara,Central Coast,Matt Kettmann,@mattkettmann,Fess Parker 2013 Syrah,Syrah,Fess Parker
858,United States,"Fresh cut pear fruit flavors carry this wine. It's crisp and clean, with fresh fruit balanced against natural acidity. Drink it now while the freshness is paramount.",,90,15,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine,Firesteed 2014 Pinot Gris,Pinot Gris,Firesteed
859,United States,"This is a generous, leathery and tannic wine, full-bodied and made in a juicy, foreboding style. Black pepper, leather and cigar smoke provide a sultry, robust edge to the wine, which should cellar well, through 2020.",,90,150,California,Spring Mountain District,Napa,Virginie Boone,@vboone,Foretell 2012 Cabernet Sauvignon,Cabernet Sauvignon,Foretell
860,United States,"Fresh cracked peppercorn, dense black and purple fruit and a cedar tone carry through the nose of this lavish yet nuanced bottling from a South Coast winery that practices extended aging before release. The elderberry fruit is hung on a strong tannic structure, bolstered by woody cigar box, incense, juniper and espresso flavors.",Erato De Portola Trail Vineyard,90,45,California,Temecula Valley,South Coast,Matt Kettmann,@mattkettmann,Gershon Bachus 2009 Erato De Portola Trail Vineyard Cabernet Franc,Cabernet Franc,Gershon Bachus
861,Italy,"Pressed wild flower, hay, fennel and ripe berry scents mingle together in the glass. The refreshing palate combines crushed strawberry, juicy red cherry, saline and a hint of baking spice alongside bright acidity.",Rosso,90,30,Sicily and Sardinia,Etna,,Kerin O'keefe,@kerinokeefe,Graci 2015 Rosso,Nerello Mascalese,Graci
862,Italy,"Alluring scents of Spanish broom, iris, berry and a hint of dried herb come together on this. The bright palate offers candied cherry, nectarine zest, white pepper and a hint of fennel while a mineral note signals the finish.",,90,19,Sicily and Sardinia,Etna,,Kerin O'keefe,@kerinokeefe,Tornatore 2015 Rosato,Rosato,Tornatore
863,United States,"Lighter bramble and red-currant fruits pop on the nose of this wine from the appellation's eastern end, as do baking-spice notes, crushed vanilla and hibiscus. It's airy on the palate, with tense cranberry and pomegranate, crushed oregano and dill, pencil lead minerality and a slowly simmering acidity.",Rio Vista Vineyard,90,45,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,West Of Temperance 2012 Rio Vista Vineyard Pinot Noir,Pinot Noir,West Of Temperance
864,Germany,"Quite rare in the U.S. market, this ripe richly berried wine is an excellent example of Frühburgunder, an early ripening mutation of Pinot Noir. Blackberry and plum flavors are fleshy and rich, offset by soft, sunny acidity and a supple silken mouthfeel. It's just faintly tannic and approachable now.",Trocken,90,40,Ahr,,,Anna Lee C. Iijima,,Winzergenossenschaft Mayschoss-altenahr 2013 Trocken Früburgunder,Früburgunder,Winzergenossenschaft Mayschoss-altenahr
865,Italy,"This offers heady aromas of honeysuckle, white stone fruit, dill, hay and a vegetal note that recalls tomato leaf. The tangy palate offers juicy grapefruit, white peach and honeydew melon while mouthwatering salinity provides depth.",Laluci,90,0,Sicily and Sardinia,Sicilia,,Kerin O'keefe,@kerinokeefe,Baglio Del Cristo Di Campobello 2015 Laluci White,White Blend,Baglio Del Cristo Di Campobello
866,Australia,"This is ripe, rich and even a touch tannic—almost more of a light red than a true rosé. This makes it ideally suited to serve alongside summer's various grilled meats. Raspberry and cola flavors finish spicy and round.",Handpicked Grenache,90,25,South Australia,Mclaren Vale,,Joe Czerwinski,@joecz,Beresford 2014 Handpicked Grenache Rosé,Rosé,Beresford
867,United States,"Fresh fruit flavors suggest a bowl full of berries and cherries. Crisp acids help to focus the wine, with spot-on varietal flavors and balance. Both elegant and complex, it's a lovely bottle from an under-the-radar producer.",Estate,90,40,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine,Carabella 2013 Estate Pinot Noir,Pinot Noir,Carabella
868,Chile,"Composed berry, spice, herb and oak aromas are complete and inviting. In the mouth, this is ripe and dense, with chewy tannins. Blackberry, mixed herb and dark chocolate flavors are integrated, while this settles nicely on the finish.",Gran Reserve,90,15,Colchagua Valley,,,Michael Schachner,@wineschach,Carmen 2014 Gran Reserva Carmenère,Carmenère,Carmen
869,United States,"The most reserved of this winery's Grenache studies, this bottling shows baked red cherry, red currant, cola and slate on the nose. An iron-based minerality shows on the earthy palate, which also offers chipped slate, cranberry and tart cherry elements. It's a tad light but still intriguingly textured.",Larner,90,42,California,Ballard Canyon,Central Coast,Matt Kettmann,@mattkettmann,Casa Dumetz 2014 Larner Grenache,Grenache,Casa Dumetz
870,United States,"This is an amazingly tasty and focused wine that has the most distinctive black pepper character. It's medium-bodied, dark and smoky looking and quite flavorful, backing up the pepper with lively raspberry notes and staying lively from the first sip to the last.",Estate,90,29,California,Mendocino Ridge,,Jim Gordon,@gordone_cellars,Greenwood Ridge 2013 Estate Bottled Syrah,Syrah,Greenwood Ridge
871,United States,Chocolate and blackberry form an impressively generous and full-bodied personality in this 100% varietal wine aged 22 months in a hearty percentage of new oak. Big tannin and traces of cigar and espresso continue on the brawny theme.,,90,42,California,Napa Valley,Napa,Virginie Boone,@vboone,Herencia 2013 Merlot,Merlot,Herencia
872,United States,"Not such a rarity these days, Albariño is turning heads in California and Oregon. This tart, juicy, and deliciously fresh effort is loaded with tangy citrus and green apple fruit. It's leesy and textural, tasting of wet stones: in sum, a wonderfully refreshing summer white.",,90,18,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine,J. Scott Cellars 2015 Albariño,Albariño,J. Scott Cellars
873,Hungary,"This delicate Hungarian white wine is a blend of 86% Furmint, 9% Yellow Muscat and 5% Kabar. It has enticing aromas of white flowers, botrytis, gardenia, apple blossom and apricot that prepare your palate for flavors of peach juice, citrus zest, grapefruit juice, caramelized pineapple and a crisp clean finish.",Dry,90,16,Tokaji,,,Jeff Jenssen,@worldwineguys,Chateau Dereszla 2014 Dry,White Blend,Chateau Dereszla
874,Portugal,"Sousão gives intense color and that, along with its attractive perfume, makes a dense, intensely fruity wine. It is rich and weighty, the tannins well integrated with a ripe, juicy aftertaste.",,90,40,Douro,,,Roger Voss,@vossroger,Quinta Do Vallado 2009 Sousão,Sousão,Quinta Do Vallado
875,Portugal,"The latest release from the partnership between the Roquette family of Quinta do Crasto in the Douro and the Cazes family of Château Lynch-Bages in Bordeaux. The wine brings out considerable minerality, a herbal edge along with forward black currant fruit. It is austerely structured at this stage and needs aging for several years.",,90,0,Douro,,,Roger Voss,@vossroger,Roquette E Cazes 2007 Red,Portuguese Red,Roquette E Cazes
876,Spain,"Ripe and sweet, with lush, raisiny aromas. The palate is flush, deep and layered, with baked berry, prune, toast and coffee flavors. This is a lot like Vall Llach's signature '07, but it's a bit more restrained and at $50 it's a better deal than the $95 wine. Still, it's a heavyweight to drink now through 2013.",Idus,90,50,Catalonia,Priorat,,Michael Schachner,@wineschach,Vall Llach 2007 Idus Red,Red Blend,Vall Llach
877,Italy,"Here's an elegant and clean blend of Merlot (50%), Cabernet Sauvignon and Cabernet Franc from coastal Tuscany that offers intensity and well-measured aromas of ripe cherry, espresso bean and tobacco. The wine is plush and soft, with plump berry notes on the finish.",Alfeo,90,0,Tuscany,Bolgheri Superiore,,,,Ceralti 2008 Alfeo,Red Blend,Ceralti
878,France,"Full-bodied wine, spiced with nutmeg and toast and give richness by sweet blackberry juice flavors. It is densely structured, rich with great fruit character as well as a powerful drive of rich tannins. Age this wine at least four years and more.",,90,35,Bordeaux,Saint-estèphe,,Roger Voss,@vossroger,Château Bel-air Ortet 2009 Saint-estèphe,Bordeaux-style Red Blend,Château Bel-air Ortet
879,France,"A solid effort, with attractive, balanced black currant fruits and ripe acidity. The wine layers fruit and integrated tannins. It feels chunky and dense, finishing dry.",,90,45,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Ferrière 2009 Margaux,Bordeaux-style Red Blend,Château Ferrière
880,United States,"Impressive for its depth and deliciousness. The grapes are from Cline's estate on the Sonoma side of the Carneros district. The wine is dry, full-bodied and tannic, although you can drink it now. It's very rich in blackberries, currants, mushu plum sauce, grilled beef and smoky sandalwood, and seems at its best now.",Sonoma Estate,90,20,California,Los Carneros,Napa,,,Cline 2008 Sonoma Estate Syrah,Syrah,Cline
881,Spain,"Ripe black fruit aromas aren't overly complex or nuanced but they are generous. Feels tight, gritty and healthy, with firm tannins in front of black cherry and blackberry flavors. Mellows on the finish, where plum and prune flavors take over. Not a hard, fierce Priorat; drink now through 2014.",Coraje,90,44,Catalonia,Priorat,,Michael Schachner,@wineschach,Fuentes 2008 Coraje Red,Red Blend,Fuentes
882,United States,"Here's a big, rich, fruity Cabernet that satisfies for its array of blackberry, cherry, currant, mineral and oak flavors. It's dry and tannic, and the overall quality is quite high. The price makes it a good Buy. Drink through 2014",,90,22,California,Napa Valley,Napa,,,Fuse 2009 Cabernet Sauvignon,Cabernet Sauvignon,Fuse
883,Italy,"This elegant 80-20 Cabernet Sauvignon-Cabernet Franc blend delivers mature aromas of ripe berry, black cherry and fresh aromas of dried herbs and powdered licorice. The somewhat subdued bouquet leads to a generous mouthfeel that leaves a long-lasting impression.",Campo Al Fico,90,0,Tuscany,Bolgheri Superiore,,,,I Luoghi 2008 Campo Al Fico,Red Blend,I Luoghi
884,United States,"Pretty dark in color and full bodied for a sparkling wine, even one that's majority Pinot Noir. But it's delicious and dry, which surely are prime requisites for any bubbly. Shows ripe, flashy raspberry, strawberry, orange, vanilla, honey, yeast and toast flavors, and the mouthfeel is silky and refined.",Brut Rosé,90,28,California,Russian River Valley,Sonoma,,,J Vineyards & Winery Nv Brut Rosé Sparkling,Sparkling Blend,J Vineyards & Winery
885,United States,"So soft, silky and sweet in blackberries, cherries and red currants, it could be a big, ripe Pinot Noir. That's a compliment. Petite Sirah can often be overpowering. This one's delicate, elegant and frankly delicious. Best now and over the next four years.",,90,27,California,Dry Creek Valley,Sonoma,,,Kokomo 2008 Petite Sirah,Petite Sirah,Kokomo
886,France,"This Grenache-heavy blend (with 20% Syrah) offers a good amount of bittersweet cocoa powder and rich jammy black berries and all-fruit preserves on the nose and mouth. A hint of gaminess adds interest to the bouquet, while the crushed velvet texture and firm tannins transition into a long finish laced with earthy spice.",La Mère Grand,90,25,Languedoc-roussillon,Minervois,,Lauren Buzzeo,@laurbuzz,Loup Blanc 2007 La Mère Grand Red,Rhône-style Red Blend,Loup Blanc
887,Portugal,"Aromas of fresh-cut hay lead to a wine that has considerable concentration and good balance from wood aging. Very citrus with pineapple touches, it finishes with an herbaceous feel. The wine comes from a vineyard planted at the end of the 19th century.",Reserve Branco,90,60,Douro,,,Roger Voss,@vossroger,Maritávora 2009 Reserva Branco White,Portuguese White,Maritávora
888,United States,"A complex mix of wild berry, cherry and somewhat brambly fruits provides a substantial core to this wine. The fruit rolls on through a slightly chalky patch, then finishes with a flourish of toast and graphite.",Slide Mountain Vineyard,90,72,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine,Owen Roe 2009 Slide Mountain Vineyard Cabernet Franc,Cabernet Franc,Owen Roe
889,United States,"A rich, tasty Pinot, packed with black cherry pie filling, cola, orange zest, star anise, cinnamon and sandalwood flavors that finish sweet and long. The texture is satisfying. Drink over the next several years.",Red Label,90,44,California,Sta. Rita Hills,Central Coast,,,Pacific Ridge 2009 Red Label Pinot Noir,Pinot Noir,Pacific Ridge
890,United States,"If you like your Voigniers flamboyant, this one's for you. It's an explosion of tangerines, golden mangoes, peaches and pears, with buttery, creamy overtones and a finish of honey. Lots of zesty acidity adds a balancing scour to the mouthfeel.",Estate,90,28,California,Napa Valley,Napa,,,Phoenix Ranch 2009 Estate Viognier,Viognier,Phoenix Ranch
891,United States,"Delicious is the word that comes to mind drinking this Pinot Noir. It's young and vibrant in acidity, with waves of raspberries, persimmons, honey, cinnamon, cloves and smoky sandalwood. Good over the next five years.",,90,29,California,Santa Maria Valley,Central Coast,,,2nd Chance 2009 Pinot Noir,Pinot Noir,2nd Chance
892,United States,"A riot of licorice, cassis, toast and berry, this 83% Cabernet Sauvignon/17% Petit Verdot Bordeaux-style blend is currently showing a lot of barrel flavors, with subdued but not insignificant fruit. Medium-grained tannins give the finish some gravitas.",Stone Tree Vineyard Intuition Reserve,90,58,Washington,Columbia Valley,Columbia Valley,Paul Gregutt,@paulgwine,Bergevin Lane 2008 Stone Tree Vineyard Intuition Reserve Red,Bordeaux-style Red Blend,Bergevin Lane
893,Australia,"This is an unusually complex Shiraz for the price, ably marrying meaty-savory notes with tart berries and plenty of weight on the palate. Crisp structure, finishes long, with lingering acids. Drink now–2018.",Heavy Metal,90,15,Australia Other,South Eastern Australia,,Joe Czerwinski,@joecz,Hungerford Hill 2008 Heavy Metal Shiraz,Shiraz,Hungerford Hill
894,Italy,"Jacopo Biondi Santi hits a home run with this beautiful Morellino. The wine is smooth and dense, with lively cherry notes, soft spice and tobacco. It's straightforward and plush, but elegant at the same time.",Castello Di Montepò,90,29,Tuscany,Morellino Di Scansano,,,,Jacopo Biondi-santi 2008 Castello Di Montepò,Sangiovese,Jacopo Biondi-santi
895,Italy,"Le Buche is an interesting winery to watch, and its various Tuscan blends show great promise. Memento is equal parts Sangiovese and Syrah with a soft, velvety texture and a bright berry finish.",Giuseppe Olivi Memento,90,45,Tuscany,Tuscany,,,,Le Buche 2006 Giuseppe Olivi Memento Red,Red Blend,Le Buche
896,United States,"Aged a little more than two years in 90% new French oak and then in bottle, time has been kind to this wine, a Syrah of dark mushroom and baked blackberry, that's savory and silky with a slight hint of mint on the finish. Mighty and impressive.",Signature Selection,90,70,California,Temecula Valley,South Coast,Virginie Boone,@vboone,Leonesse Cellars 2007 Signature Selection Syrah,Syrah,Leonesse Cellars
897,United States,"Dusty and tight, with a whiff of coffee and cocoa introducing an elegant wine with interesting streaks of metal and graphite. Young fruit and fine tannins are in perfect balance, and the wine has a lovely delicacy.",Dividend,90,39,Washington,Columbia Valley,Columbia Valley,Paul Gregutt,@paulgwine,Market Vineyards 2008 Dividend Syrah,Syrah,Market Vineyards
898,Italy,"This vintage of Marsiliana (the top wine from the Maremma property of Prince Corsini) shows rich tones of espresso, chocolate, dark fruit, leather and spice. The wine is soft and well extracted, with a slightly tough, chewy finish.",,90,0,Tuscany,Tuscany,,,,Marsiliana 2005 Red,Red Blend,Marsiliana
899,Italy,"Tuscany's Mazzei family delivers a wonderful Chianti Classico from their Fonterutoli estate that would pair perfectly with grilled meats or oven-roasted pasta. This is a soft, lush wine with bright cherry and spice notes, which drive a long, velvety finish.",Fonterutoli,90,28,Tuscany,Chianti Classico,,,,Mazzei 2009 Fonterutoli,Sangiovese,Mazzei
900,Spain,"It has taken a few years but Morlanda has reached a nice place with this wine. Look for ripeness and concentrated black fruit aromas, and then a ripe palate with herbal blackberry and chocolate. Smooth on the finish, with a tiny bit of burn. Drink now through 2014.",Criança,90,48,Catalonia,Priorat,,Michael Schachner,@wineschach,Morlanda 2007 Criança Red,Red Blend,Morlanda
901,Portugal,"A wood-aged white, spicy and ripe. It has just the right balance of acidity to go with the ripe green plum and melon fruits. With a great bite of acidity to finish, this is a wine that will age for 3–4 years.",Reserve Branco,90,50,Douro,,,Roger Voss,@vossroger,Quinta Do Vallado 2010 Reserva Branco White,Portuguese White,Quinta Do Vallado
902,United States,"White lily, popcorn kernel, citrus spray and underripe peach lead the well-integrated and restrained nose. The palate follows suit, remaining quiet and delicate in flavor concentration, yet loud in weight and texture. Salty citrus lingers on the finish.",Reserve Bingham Vineyard,87,22,Texas,Texas High Plains,,Alexander Peartree,@apatrone23,Becker 2014 Reserve Bingham Vineyard Roussanne,Roussanne,Becker
903,Germany,"Whiffs of smoke and nuts mingle into tart tangerine and lime flavors in this refreshing off-dry Riesling. Juicy and fresh, it's a straightforward, revitalizing sip. Drink now through 2018.",,87,10,Nahe,,,Anna Lee C. Iijima,,Bex 2014 Riesling,Riesling,Bex
904,Italy,"Aromas of leather, vineyard dust, dried violet and a whiff of pressed powder lead the nose. The simple palate isn't very expressive, showing sour red cherry and a hint of baking spice alongside close-grained tannins that dry out the finish.",Pajè,87,50,Piedmont,Barbaresco,,Kerin O'keefe,@kerinokeefe,Boffa 2013 Pajè,Nebbiolo,Boffa
905,United States,"An enticing mix of dark berries and fatty, cured sausage makes for an interesting nose. There's good structure and balance on the palate with this southern Italian transplant. It's juicy, ripe and ready for barbecue.",Super Nero,87,30,Texas,Texas,,Alexander Peartree,@apatrone23,Brennan 2014 Super Nero Nero D'avola,Nero D'avola,Brennan
906,United States,"Peach, canned tropical fruit and white flower aromas are pristine on the nose. The medium-bodied palate shows a balance of juicy peach and pineapple, with streaks of chalk and a vein of acidity. This is clean, succinct and perfectly enjoyable on its own.",Reddy Vineyard,87,18,Texas,Texas High Plains,,Alexander Peartree,@apatrone23,Brennan 2015 Reddy Vineyard Roussanne,Roussanne,Brennan
907,Portugal,"A fresh lemon-flavored wine with crisp acidity balanced by warmer white-stone fruit. It is fruity, showing a touch of toast and almonds. Drink now.",Bruto,87,30,Vinho Verde,,,Roger Voss,@vossroger,Casa De Vilacetinho 2013 Bruto Avesso,Avesso,Casa De Vilacetinho
